food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
Frozen mocha coffee drink,Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Frozen mocha coffee drink, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Frozen mocha coffee drink, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Frozen mocha coffee drink, with whipped cream",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Frozen mocha coffee drink, nonfat, with whipped cream",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Frozen mocha coffee drink, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Frozen mocha coffee drink, decaffeinated, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Frozen mocha coffee drink, decaffeinated, with whipped cream",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Iced Coffee, brewed",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Iced Coffee, brewed, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Iced Coffee, pre-lightened and pre-sweetened",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Iced Latte, flavored",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, nonfat, flavored",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, with non-dairy milk, flavored",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Iced Latte, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, decaffeinated, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, decaffeinated, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Iced Latte, decaffeinated, flavored",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, decaffeinated, nonfat, flavored",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Iced Cafe Mocha",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Cafe Mocha, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Cafe Mocha, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Iced Cafe Mocha, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, instant, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, 50% less caffeine, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, NS as to brewed or instant, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, brewed, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, decaffeinated, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, instant, pre-sweetened with sugar, reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, pre-lightened and pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, pre-lightened and pre-sweetened with low calorie sweetener",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, pre-lightened",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, decaffeinated, pre-lightened",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, decaffeinated, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, pre-sweetened with low calorie sweetener",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee and chicory, brewed",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee and chicory, brewed, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Cappuccino",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Cappuccino, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Cappuccino, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, Cappuccino, decaffeinated",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Cappuccino, decaffeinated, nonfat",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, Cappuccino, decaffeinated, with non-dairy milk",Non-dairy milk (NFS),ok,ok,ok,ok,neutral,Check for additives/carrageenan
"Coffee, bottled/canned",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, bottled/canned, light",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, not reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, decaffeinated, not reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
"Coffee, instant, pre-sweetened with sugar, not reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
Coffee substitute,Coffee,ok,caution,caution,caution,caution,Caffeine worsens PEM and POTS; decaf better tolerated
Chicory beverage,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Tea, hot, leaf, black",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, hot, leaf, black, decaffeinated",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, hot, leaf, green",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, hot, leaf, green, decaffeinated",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, hot, leaf, oolong",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, black, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, black, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, black, decaffeinated, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, green, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, green, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, hot, herbal",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Tea, hot, hibiscus",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
Corn beverage,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Tea, hot, chamomile",Herbal tea,ok,ok,ok,ok,ok,"Rooibos, chamomile — well tolerated; check for citrus peel"
"Tea, hot, with milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
"Tea, ginger",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, bubble",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, kombucha",Kombucha,neutral,neutral,neutral,neutral,neutral,
"Tea, iced, instant, black, unsweetened, dry",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, instant, black, pre-sweetened, dry",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
Iced Tea / Lemonade juice drink,Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Iced Tea / Lemonade juice drink, light",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Iced Tea / Lemonade juice drink, diet",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Tea, iced, brewed, black, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, black, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, black, decaffeinated, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, green, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, brewed, green, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, green, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, brewed, green, decaffeinated, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black, decaffeinated",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black, diet",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black, decaffeinated, diet",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, black, decaffeinated, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, green",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, green, diet",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Tea, iced, bottled, green, unsweetened",Caffeinated tea,ok,caution,caution,avoid,caution,Caffeine + fermentation byproducts; green/black tea problematic for MCAS
"Soft drink, NFS",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, NFS, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Water, tonic",Water,ok,ok,ok,ok,ok,Essential; POTS requires 3 L/day
"Water, carbonated, plain",Water,ok,ok,ok,ok,ok,Essential; POTS requires 3 L/day
"Water, carbonated, flavored",Water,ok,ok,ok,ok,ok,Essential; POTS requires 3 L/day
"Soft drink, cola",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cola, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cola, decaffeinated",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cola, decaffeinated, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, pepper type",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, pepper type, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, pepper type, decaffeinated",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, pepper type, decaffeinated, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cream soda",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Soft drink, cream soda, diet",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Soft drink, fruit flavored, caffeine free",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, fruit flavored, diet, caffeine free",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, fruit flavored, caffeine containing",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, fruit flavored, caffeine containing, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, ginger ale",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, ginger ale, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, root beer",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Soft drink, root beer, diet",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Soft drink, chocolate flavored",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Soft drink, chocolate flavored, diet",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Soft drink, cola, fruit or vanilla flavored",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cola, chocolate flavored",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Soft drink, cola, fruit or vanilla flavored, diet",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Soft drink, cola, chocolate flavored, diet",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Fruit juice drink, citrus, carbonated",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Fruit juice drink, noncitrus, carbonated",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
Fruit juice drink,Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
Tamarind drink,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit punch, made with fruit juice and soda",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Lemonade, fruit juice drink",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Lemonade, fruit flavored drink",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Lemonade, frozen concentrate, not reconstituted",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
Fruit flavored drink,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pina Colada, nonalcoholic",Soda / soft drinks,caution,avoid,caution,caution,neutral,High sugar/additives; caffeine in cola
"Margarita mix, nonalcoholic",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
Slush frozen drink,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Slush frozen drink, no sugar added",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Fruit flavored drink, with high vitamin C",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Cranberry juice drink, with high vitamin C",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit juice drink, with high vitamin C",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Vegetable and fruit juice drink, with high vitamin C",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
Fruit juice drink (Sunny D),Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit flavored drink, powdered, reconstituted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, with high vitamin C, powdered, reconstituted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit juice drink, with high vitamin C, light",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit juice drink, light",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit juice drink, diet",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Cranberry juice drink, with high vitamin C, light",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Grape juice drink, light",Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
"Orange juice beverage, 40-50% juice, light",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Apple juice beverage, 40-50% juice, light",Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
"Lemonade, fruit juice drink, light",Citrus fruits,ok,ok,ok,avoid,neutral,Potent histamine liberators
"Pomegranate juice beverage, 40-50% juice, light",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Vegetable and fruit juice drink, with high vitamin C, diet",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Vegetable and fruit juice drink, with high vitamin C, light",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit flavored drink, with high vitamin C, diet",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, diet",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, with high vitamin C, powdered, reconstituted, diet",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, powdered, reconstituted, diet",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Fruit juice drink (Capri Sun),Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Fruit juice drink, added calcium (Sunny D)",Fruit / vegetable juice,ok,ok,ok,caution,neutral,Citrus juice high histamine liberator for MCAS
"Horchata, made with water",Water,ok,ok,ok,ok,ok,Essential; POTS requires 3 L/day
"Horchata, made with milk",Dairy milk,ok,ok,ok,ok,ok,Fresh milk is low histamine
Frescavena,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Atole de avena,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Sugar cane beverage,Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
Atole,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Atole de chocolate,Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Wine, nonalcoholic",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Beer, nonalcoholic",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
Shirley Temple,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, powdered, not reconstituted",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Fruit flavored drink, powdered, not reconstituted, diet",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Sports drink, dry concentrate, not reconstituted",Sports / electrolyte drinks,ok,ok,ok,caution,ok,POTS: valuable for sodium/electrolytes; check additives for MCAS
Beer,Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Beer, light",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Beer, higher alcohol",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
"Alcoholic malt beverage, sweetened",Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
Alcoholic malt beverage,Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
Hard cider,Alcohol,caution,avoid,avoid,avoid,avoid,Blocks DAO; vasodilator worsens POTS; common LC intolerance
